Custkey,DateKey,Discount Amount,Invoice Number,Item,List Price,Sales Amount,Sales Amount Based on List Price,Sales Cost Amount,Sales Margin Amount,Sales Price,Sales Quantity,U/M,Grade
10008602,2017-01-06,226.87,330049,Super Low Fat Apple Butter,434.42,207.55,434.42,149.14,58.41,207.55,1,SE,gold
10008602,2017-01-06,244.17,330049,American Potato Salad,467.53,223.36,467.53,205.72,17.64,223.36,1,SE,gold
10008602,2017-01-06,265.57,330049,Just Right Chicken Ramen Soup,283.03,300.49,566.06,154.19,146.3,150.245,2,EA,gold
10008602,2017-01-06,288.86,330049,Pearl Chardonnay,123.14,326.84,615.7,228.77,98.07,65.368,5,EA,gold
10008602,2017-01-06,350.95,330049,Gorilla Strawberry Yogurt,187.01,397.09,748.04,170.72,226.37,99.2725,4,EA,gold
10008602,2017-01-06,417.83,330049,BBB Best Strawberry Jelly,222.65,472.77,890.6,366.8,105.97,118.1925,4,EA,gold
10008602,2017-01-06,1176.8298,330049,Atomic Mint Chocolate Bar,1254.1899,1331.55,2508.3798,677.0,654.55,665.775,2,EA,gold
10008602,2017-01-06,1569.76,330049,Ebony Macintosh Apples,223.06,1776.14,3345.9,556.75,1219.39,118.4093333,15,SE,gold
10008602,2017-01-06,5371.79,330049,Better Fancy Canned Sardines,1431.23,6078.05,11449.84,3597.53,2480.52,759.75625,8,EA,gold
10014779,2018-03-21,192.49,226451,Super White Sugar,157.76,280.79,473.28,143.73,137.06,93.59666667,3,SE,platinum
10014779,2018-03-21,207.39,226451,High Top Cauliflower,50.99,302.51,509.9,77.03,225.48,30.251,10,EA,platinum
10014779,2018-03-21,510.1099,226451,Atomic Mint Chocolate Bar,1254.1899,744.08,1254.1899,338.5,405.58,744.08,1,EA,platinum
10014779,2018-03-21,737.96,226451,Nationeel Salted Pretzels,181.44,1076.44,1814.4,298.64,777.8,107.644,10,SE,platinum
10014779,2018-03-21,782.28,226451,High Top Dried Mushrooms,192.34,1141.12,1923.4,333.88,807.24,114.112,10,SE,platinum
10014779,2018-03-20,845.64,226300,High Top Asparagus,346.53,1233.54,2079.18,748.46,485.08,205.59,6,EA,platinum
10014779,2018-03-20,156.45,226301,High Top Dried Mushrooms,192.34,228.23,384.68,66.78,161.45,114.115,2,SE,platinum
10014779,2018-03-20,492.95,226301,Moms Sliced Ham,101.0,719.05,1212.0,352.28,366.77,59.92083333,12,SE,platinum
10014779,2018-03-19,173.22,226149,Jeffers Wheat Puffs,408.04,234.82,408.04,144.21,90.61,234.82,1,EA,platinum
10014779,2018-03-19,241.04,226149,Ebony Plums,189.27,326.77,567.81,158.72,168.05,108.9233333,3,EA,platinum
10014779,2018-03-19,325.92,226149,Red Spade Low Fat Bologna,767.75,441.83,767.75,282.05,159.78,441.83,1,EA,platinum
10014779,2018-03-19,373.32,226149,Bravo Canned Yams,439.7,506.08,879.4,269.34,236.74,253.04,2,EA,platinum
10014779,2018-03-19,410.27,226149,Ebony Prepared Salad,966.44,556.17,966.44,272.27,283.9,556.17,1,EA,platinum
10014779,2018-03-19,492.73,226149,Red Spade Turkey Hot Dogs,1160.7,667.97,1160.7,312.94,355.03,667.97,1,EA,platinum
10014779,2018-03-19,532.4299,226149,Atomic Mint Chocolate Bar,1254.1899,721.76,1254.1899,338.5,383.26,721.76,1,EA,platinum
10014779,2018-03-19,541.15,226149,High Top Cauliflower,50.99,733.6,1274.75,192.58,541.02,29.344,25,EA,platinum
10014779,2018-03-19,767.27,226149,Gorilla Chocolate Milk,301.23,1040.11,1807.38,646.63,393.48,173.3516667,6,EA,platinum
10014779,2018-03-19,920.87,226149,Imagine Popsicles,1084.61,1248.35,2169.22,593.09,655.26,624.175,2,EA,platinum
10014779,2018-03-19,1049.48,226149,Big Time Frozen Cheese Pizza,412.03,1422.7,2472.18,505.4,917.3,237.1166667,6,EA,platinum
10014779,2018-03-19,1295.18,226149,Club Sharp Cheddar Cheese,575.0,1579.82,2875.0,1015.67,564.15,315.964,5,EA,platinum
10014779,2018-03-19,1965.78,226149,Club Cheese Spread,218.18,2397.82,4363.6,1198.01,1199.81,119.891,20,EA,platinum
10014779,2018-03-19,2310.74,226149,Nationeel Salted Pretzels,181.44,3132.46,5443.2,895.92,2236.54,104.4153333,30,SE,platinum
10014779,2018-03-19,4082.59,226149,High Top Dried Mushrooms,192.34,5534.41,9617.0,1669.38,3865.03,110.6882,50,SE,platinum
10014779,2018-03-19,4202.53,226149,Moms Sliced Turkey,824.96,5696.99,9899.52,3058.48,2638.51,474.7491667,12,EA,platinum
10014779,2018-03-19,11367.37,226149,Discover Manicotti,1275.1,15409.73,26777.1,7403.85,8005.88,733.7966667,21,EA,platinum
10014779,2018-02-06,704.7,222767,High Top Asparagus,346.53,1027.95,1732.65,354.42,673.53,205.59,5,EA,platinum
10014779,2018-01-16,181.44,220846,Ebony Macintosh Apples,223.06,264.68,446.12,74.23,190.45,132.34,2,SE,platinum
10014779,2018-01-16,234.69,220853,High Top Dried Mushrooms,192.34,342.33,577.02,100.16,242.17,114.11,3,SE,platinum
10014779,2018-01-16,256.66,220853,Ebony Canned Peanuts,157.76,374.38,631.04,237.28,137.1,93.595,4,SE,platinum
10014779,2018-01-16,457.61,220853,Carlson Cheese Spread,281.28,667.51,1125.12,285.6,381.91,166.8775,4,EA,platinum
10014779,2018-01-16,502.74,220853,Big Time Frozen Cheese Pizza,412.03,733.35,1236.09,252.7,480.65,244.45,3,EA,platinum
10014779,2018-01-16,178.83,220860,Bravo Canned Yams,439.7,260.87,439.7,134.67,126.2,260.87,1,EA,platinum
10014779,2018-01-16,335.16,220860,Big Time Frozen Cheese Pizza,412.03,488.9,824.06,168.47,320.43,244.45,2,EA,platinum
10014779,2018-01-16,335.52,220860,Moms Sliced Turkey,824.96,489.44,824.96,260.98,228.46,489.44,1,EA,platinum
10014779,2018-01-16,441.13,220860,Imagine Popsicles,1084.61,643.48,1084.61,302.65,340.83,643.48,1,EA,platinum
10014779,2018-01-16,786.14,220860,Ebony Prepared Salad,966.44,1146.74,1932.88,556.76,589.98,573.37,2,EA,platinum
10014779,2018-01-09,357.67,220248,Bravo Canned Yams,439.7,521.73,879.4,269.34,252.39,260.865,2,EA,platinum
10014779,2018-01-09,350.58,220249,Pearl Chardonnay,123.14,511.4,861.98,87.93,423.47,73.05714286,7,EA,platinum
10014779,2018-01-02,165.96,219688,Jeffers Wheat Puffs,408.04,242.08,408.04,144.21,97.87,242.08,1,EA,platinum
10014779,2018-01-02,938.75,219688,High Top Dried Mushrooms,192.34,1369.33,2308.08,400.65,968.68,114.1108333,12,SE,platinum
10014779,2018-01-02,1528.57,219688,Bravo Large Canned Shrimp,939.57,2229.71,3758.28,1092.2,1137.51,557.4275,4,EA,platinum
10014779,2018-01-01,735.1,219582,Gorilla Chocolate Milk,301.23,1072.28,1807.38,646.63,425.65,178.7133333,6,EA,platinum
10014779,2017-12-26,459.87,130231,Imagine Popsicles,1084.61,624.74,1084.61,296.55,328.19,624.74,1,EA,platinum
10014779,2017-12-25,162.21,219228,Fast Dried Apples,199.41,236.61,398.82,111.87,124.74,118.305,2,EA,platinum
10014779,2017-12-25,502.74,219228,Big Time Frozen Cheese Pizza,412.03,733.35,1236.09,252.7,480.65,244.45,3,EA,platinum
10014779,2017-12-25,1006.58,219228,Moms Sliced Turkey,824.96,1468.3,2474.88,782.94,685.36,489.4333333,3,EA,platinum
10014779,2017-12-19,562.67,129693,Even Better Chocolate Milk,1327.05,764.38,1327.05,470.77,293.61,764.38,1,EA,platinum
10014779,2017-11-26,562.67,127504,Even Better Chocolate Milk,1327.05,764.38,1327.05,470.77,293.61,764.38,1,EA,platinum
10014779,2017-10-24,459.87,116723,Imagine Popsicles,1084.61,624.74,1084.61,296.55,328.19,624.74,1,EA,platinum
10014779,2017-10-17,562.67,116175,Even Better Chocolate Milk,1327.05,764.38,1327.05,470.77,293.61,764.38,1,EA,platinum
10014779,2017-09-24,562.67,113945,Even Better Chocolate Milk,1327.05,764.38,1327.05,470.77,293.61,764.38,1,EA,platinum
10014779,2017-03-26,562.67,126243,Even Better Chocolate Milk,1327.05,764.38,1327.05,470.77,293.61,764.38,1,EA,platinum
10017638,2018-03-21,199.86,226458,Landslide Low Fat Apple Butter,229.0,258.14,458.0,270.29,-12.15,129.07,2,EA,diamond
10017638,2018-03-21,199.86,226462,Landslide Low Fat Apple Butter,229.0,258.14,458.0,270.29,-12.15,129.07,2,EA,diamond
10017638,2018-03-21,199.86,226472,Landslide Low Fat Apple Butter,229.0,258.14,458.0,270.29,-12.15,129.07,2,EA,diamond
10017638,2018-03-21,244.83,226480,Nationeel Dried Dates,561.04,316.21,561.04,180.54,135.67,316.21,1,EA,diamond
10017638,2018-03-21,277.61,226497,Blue Label Fancy Canned Oysters,14.76,312.79,590.4,268.4,44.39,7.81975,40,EA,diamond
10017638,2018-03-21,410.75,226497,Landslide White Sugar,436.78,462.81,873.56,423.55,39.26,231.405,2,EA,diamond
10017638,2018-03-21,505.78,226497,High Top Oranges,119.52,569.9,1075.68,239.95,329.95,63.32222222,9,EA,diamond
10017638,2018-03-21,596.32,226497,Blue Label Canned Beets,634.11,671.9,1268.22,544.11,127.79,335.95,2,EA,diamond
10017638,2018-03-21,876.16,226497,Moms Potato Salad,232.92,987.2,1863.36,574.0,413.2,123.4,8,EA,diamond
10017638,2018-03-21,1095.7,226497,Gorilla Jack Cheese,1103.0,1110.3,2206.0,844.55,265.75,555.15,2,EA,diamond
10017638,2018-03-21,1582.78,226497,Gorilla Strawberry Yogurt,187.01,1783.4,3366.18,768.23,1015.17,99.07777778,18,EA,diamond
10017638,2018-03-21,4654.76,226498,Moms Sliced Turkey,824.96,5244.76,9899.52,3058.48,2186.28,437.0633333,12,EA,diamond
10017638,2018-03-21,24226.77,226498,Better Fancy Canned Sardines,1431.23,27297.51,51524.28,16188.9,11108.61,758.2641667,36,EA,diamond
10017638,2018-03-21,24479.26,226498,Imagine Popsicles,1084.61,27582.02,52061.28,14234.22,13347.8,574.6254167,48,EA,diamond
10017638,2018-03-20,657.93,226357,Token Apple Drink,349.81,741.31,1399.24,366.84,374.47,185.3275,4,EA,diamond
10017638,2018-03-20,1551.59,226358,Moms Sliced Turkey,824.96,1748.25,3299.84,1019.49,728.76,437.0625,4,EA,diamond
10017638,2018-03-20,2650.72,226358,Bravo Large Canned Shrimp,939.57,2986.7,5637.42,1601.67,1385.03,497.7833333,6,EA,diamond
10017638,2018-03-20,3635.36,226358,Ebony Prepared Salad,966.44,4096.16,7731.52,2178.2,1917.96,512.02,8,EA,diamond
10017638,2018-03-20,8075.59,226358,Better Fancy Canned Sardines,1431.23,9099.17,17174.76,5396.3,3702.87,758.2641667,12,EA,diamond
10017638,2018-03-20,8159.75,226358,Imagine Popsicles,1084.61,9194.01,17353.76,4744.74,4449.27,574.625625,16,EA,diamond
10017638,2018-03-20,1112.87,226422,Discover Manicotti,1275.1,1437.33,2550.2,705.13,732.2,718.665,2,EA,diamond
10017638,2018-03-19,209.38,226195,BBB Best Strawberry Jelly,222.65,235.92,445.3,183.4,52.52,117.96,2,EA,diamond
10017638,2018-03-19,263.79,226195,Gorilla Strawberry Yogurt,187.01,297.24,561.03,128.04,169.2,99.08,3,EA,diamond
10017638,2018-03-19,298.15,226195,Blue Label Canned Beets,634.11,335.96,634.11,272.06,63.9,335.96,1,EA,diamond
10017638,2018-03-19,355.75,226195,Gorilla Blueberry Yogurt,378.29,400.83,756.58,155.33,245.5,200.415,2,EA,diamond
10017638,2018-03-19,1187.78,226195,Nationeel Avocado Dip,842.04,1338.34,2526.12,942.15,396.19,446.1133333,3,EA,diamond
10017638,2018-03-18,230.74,226073,Moms Sliced Ham,122.68,259.98,490.72,97.0,162.98,64.995,4,EA,diamond
10017638,2018-03-18,263.8,226073,BBB Best Grape Jelly,561.04,297.24,561.04,177.35,119.89,297.24,1,EA,diamond
10017638,2018-03-18,302.46,226073,Good Light Wine,321.63,340.8,643.26,260.33,80.47,170.4,2,EA,diamond
10017638,2018-03-18,422.09,226073,BBB Best Salt,224.42,475.59,897.68,298.66,176.93,118.8975,4,EA,diamond
10017638,2018-03-18,427.23,226073,Moms Low Fat Bologna,227.15,481.37,908.6,405.01,76.36,120.3425,4,EA,diamond
10017638,2018-03-18,459.88,226073,Landslide Pepper,195.61,518.17,978.05,243.65,274.52,103.634,5,EA,diamond
10017638,2018-03-18,488.82,226073,High Top Asparagus,346.53,550.77,1039.59,374.23,176.54,183.59,3,EA,diamond
10017638,2018-03-18,742.4,226073,Even Better String Cheese,263.15,836.5,1578.9,609.15,227.35,139.4166667,6,EA,diamond
10017638,2018-03-17,344.22,225926,Nationeel Beef Jerky,157.76,444.58,788.8,296.61,147.97,88.916,5,SE,diamond
10017638,2018-03-17,396.49,225926,Moms Low Fat Bologna,227.15,512.11,908.6,405.01,107.1,128.0275,4,EA,diamond
10017638,2018-03-17,425.29,225926,Just Right Canned Tuna in Water,324.86,549.29,974.58,214.49,334.8,183.0966667,3,EA,diamond
10017638,2018-03-17,756.1,225926,High Top Asparagus,346.53,976.55,1732.65,623.72,352.83,195.31,5,EA,diamond
10017638,2018-03-17,566.87,225979,Tell Tale Onions,1299.0,732.13,1299.0,375.57,356.56,732.13,1,EA,diamond
10017638,2018-03-12,169.41,225564,Super Apple Butter,194.1,218.79,388.2,62.47,156.32,109.395,2,EA,diamond
10017638,2018-03-12,305.31,225564,Token Apple Drink,349.81,394.31,699.62,183.42,210.89,197.155,2,EA,diamond
10017638,2018-03-12,196.88,225575,Big Time Ice Cream,104.68,221.84,418.72,105.9,115.94,55.46,4,EA,diamond
10017638,2018-03-12,196.98,225575,Nationeel Golden Raisins,104.73,221.94,418.92,93.49,128.45,55.485,4,EA,diamond
10017638,2018-03-12,207.02,225575,Tell Tale Firm Tofu,36.69,233.26,440.28,106.08,127.18,19.43833333,12,EA,diamond
10017638,2018-03-12,219.04,225575,Moms Potato Salad,232.92,246.8,465.84,143.5,103.3,123.4,2,EA,diamond
10017638,2018-03-12,231.2,225575,Just Right Canned Tuna in Water,491.72,260.52,491.72,159.14,101.38,260.52,1,EA,diamond
10017638,2018-03-12,238.76,225575,Fast Salsa Dip,152.12,217.6,456.36,148.78,68.82,72.53333333,3,PR,diamond
10017638,2018-03-12,241.98,225575,Golden Beef TV Dinner,257.31,272.64,514.62,178.49,94.15,136.32,2,EA,diamond
10017638,2018-03-12,244.61,225575,Washington Mango Drink,467.53,222.92,467.53,205.72,17.2,222.92,1,SE,diamond
10017638,2018-03-12,247.47,225575,Nationeel Grape Fruit Roll,263.15,278.83,526.3,180.9,97.93,139.415,2,EA,diamond
10017638,2018-03-12,247.47,225575,Even Better String Cheese,263.15,278.83,526.3,203.05,75.78,139.415,2,EA,diamond
10017638,2018-03-12,249.28,225575,Discover Spaghetti,44.18,280.88,530.16,158.73,122.15,23.40666667,12,EA,diamond
10017638,2018-03-12,261.73,225575,Monarch Ravioli,556.63,294.9,556.63,166.3,128.6,294.9,1,EA,diamond
10017638,2018-03-12,296.71,225575,Ebony Fuji Apples,157.76,334.33,631.04,190.98,143.35,83.5825,4,SE,diamond
10017638,2018-03-12,317.94,225575,Fast Corn Chips,169.04,358.22,676.16,256.65,101.57,89.555,4,EA,diamond
10017638,2018-03-12,320.1,225575,Ebony Cantelope,113.46,360.66,680.76,245.13,115.53,60.11,6,SE,diamond
10017638,2018-03-12,375.05,225575,Fast Dried Apples,199.41,422.59,797.64,223.75,198.84,105.6475,4,EA,diamond
10017638,2018-03-12,415.14,225575,High Top Golden Delcious Apples,147.15,467.76,882.9,340.73,127.03,77.96,6,EA,diamond
10017638,2018-03-12,436.24,225575,Applause Canned Mixed Fruit,138.97,397.58,833.82,263.82,133.76,66.26333333,6,PR,diamond
10017638,2018-03-12,441.21,225575,Fantastic Pumpernickel Bread,156.39,497.13,938.34,296.22,200.91,82.855,6,EA,diamond
10017638,2018-03-12,445.07,225575,Super White Sugar,157.76,501.49,946.56,287.47,214.02,83.58166667,6,SE,diamond
10017638,2018-03-12,511.88,225575,Nationeel Avocado Dip,181.44,576.76,1088.64,188.04,388.72,96.12666667,6,SE,diamond
10017638,2018-03-12,512.22,225575,Big Time Home Style French Fries,181.56,577.14,1089.36,430.67,146.47,96.19,6,EA,diamond
10017638,2018-03-12,532.32,225575,Just Right Chicken Ramen Soup,283.03,599.8,1132.12,308.38,291.42,149.95,4,EA,diamond
10017638,2018-03-12,543.05,225575,Gorilla 1% Milk,577.46,611.87,1154.92,418.94,192.93,305.935,2,EA,diamond
10017638,2018-03-12,611.62,225575,Atomic Spicy Mints,325.19,689.14,1300.76,656.38,32.76,172.285,4,EA,diamond
10017638,2018-03-12,650.63,225575,Red Spade Beef Bologna,115.31,733.09,1383.72,232.62,500.47,61.09083333,12,EA,diamond
10017638,2018-03-12,772.11,225575,Bravo Canned Tomatos,205.26,869.97,1642.08,460.3,409.67,108.74625,8,EA,diamond
10017638,2018-03-12,897.38,225575,Fast BBQ Potato Chips,190.85,1011.12,1908.5,426.32,584.8,101.112,10,EA,diamond
10017638,2018-03-12,995.5902,225575,Ebony Squash,1058.6801,1121.77,2117.3602,607.08,514.69,560.885,2,EA,diamond
10017638,2018-03-12,1042.21,225575,Pearl Chardonnay,123.14,1174.31,2216.52,823.58,350.73,65.23944444,18,EA,diamond
10017638,2018-03-12,1081.8698,225575,Golden Frozen Chicken Thighs,1150.4399,1219.01,2300.8798,628.54,590.47,609.505,2,EA,diamond
10017638,2018-03-12,1258.6,225575,Ebony Macintosh Apples,223.06,1418.12,2676.72,445.4,972.72,118.1766667,12,SE,diamond
10017638,2018-03-12,1289.9,225575,Cutting Edge Foot-Long Hot Dogs,548.66,1453.4,2743.3,578.14,875.26,290.68,5,EA,diamond
10017638,2018-03-12,1438.53,225575,High Top Cauliflower,50.99,1620.87,3059.4,462.19,1158.68,27.0145,60,EA,diamond
10017638,2018-03-12,1653.98,225575,Bravo Canned Yams,439.7,1863.62,3517.6,1077.38,786.24,232.9525,8,EA,diamond
10017638,2018-03-12,2667.85,225575,Red Spade Low Fat Cole Slaw,1134.77,3006.0,5673.85,1603.82,1402.18,601.2,5,EA,diamond
10017638,2018-03-12,3061.64,225575,Red Spade Foot-Long Hot Dogs,1627.84,3449.72,6511.36,1902.99,1546.73,862.43,4,EA,diamond
10017638,2018-03-12,3609.97,225575,Red Spade Low Fat Bologna,767.75,4067.53,7677.5,2820.53,1247.0,406.753,10,EA,diamond
10017638,2018-03-12,4717.7692,225575,Atomic Mint Chocolate Bar,1254.1899,5315.75,10033.5192,2708.02,2607.73,664.46875,8,EA,diamond
10017638,2018-03-11,237.45,225392,Landslide Grape Jelly,544.12,306.67,544.12,190.21,116.46,306.67,1,EA,diamond
10017638,2018-03-11,191.37,225393,Fast Low Fat BBQ Chips,219.27,247.17,438.54,122.93,124.24,123.585,2,EA,diamond
10017638,2018-03-11,204.93,225393,Landslide Vegetable Oil,469.61,264.68,469.61,184.03,80.65,264.68,1,EA,diamond
10017638,2018-03-11,370.53,225393,Just Right Fancy Canned Oysters,283.03,478.56,849.09,264.27,214.29,159.52,3,EA,diamond
10017638,2018-03-11,437.2,225393,Just Right Canned Yams,166.98,564.68,1001.88,341.41,223.27,94.11333333,6,EA,diamond
10017638,2018-03-11,677.69,225393,American Pimento Loaf,517.65,875.26,1552.95,164.38,710.88,291.7533333,3,EA,diamond
10017638,2018-03-11,169.41,225394,Super Apple Butter,194.1,218.79,388.2,62.47,156.32,109.395,2,EA,diamond
10017638,2018-03-11,237.45,225394,Landslide Grape Jelly,544.12,306.67,544.12,190.21,116.46,306.67,1,EA,diamond
10017638,2018-03-11,179.02,225396,Walrus White Zinfandel Wine,190.36,201.7,380.72,77.82,123.88,100.85,2,EA,diamond
10017638,2018-03-11,188.43,225396,Tell Tale Fuji Apples,133.58,212.31,400.74,204.64,7.67,70.77,3,PR,diamond
10017638,2018-03-11,190.94,225396,Special Wheat Puffs,101.52,215.14,406.08,69.98,145.16,53.785,4,EA,diamond
10017638,2018-03-11,192.09,225396,High Top Sweet Onion,408.52,216.43,408.52,136.57,79.86,216.43,1,SE,diamond
10017638,2018-03-11,195.16,225396,Better Noodle Soup,51.88,219.88,415.04,99.04,120.84,27.485,8,EA,diamond
10017638,2018-03-11,195.54,225396,Best Wheat Puffs,69.31,220.32,415.86,87.17,133.15,36.72,6,EA,diamond
10017638,2018-03-11,200.59,225396,Landslide Columbian Coffee,11.85,226.01,426.6,63.0,163.01,6.278055556,36,EA,diamond
10017638,2018-03-11,201.62,225396,Ebony Firm Tofu,202.96,204.3,405.92,131.46,72.84,102.15,2,EA,diamond
10017638,2018-03-11,202.82,225396,Best Choice Golden Raisins,107.84,228.54,431.36,127.62,100.92,57.135,4,EA,diamond
10017638,2018-03-11,218.61,225396,Just Right Fancy Canned Oysters,232.46,246.31,464.92,121.24,125.07,123.155,2,EA,diamond
10017638,2018-03-11,219.04,225396,Urban Large Brown Eggs,232.92,246.8,465.84,140.41,106.39,123.4,2,EA,diamond
10017638,2018-03-11,220.6,225396,Fantastic Pumpernickel Bread,156.39,248.57,469.17,148.11,100.46,82.85666667,3,EA,diamond
10017638,2018-03-11,228.08,225396,Super Apple Jelly,161.69,256.99,485.07,66.24,190.75,85.66333333,3,EA,diamond
10017638,2018-03-11,237.24,225396,Fast Fudge Cookies,252.28,267.32,504.56,132.95,134.37,133.66,2,EA,diamond
10017638,2018-03-11,245.44,225396,Ebony Honey Dew,247.07,248.7,494.14,170.64,78.06,124.35,2,EA,diamond
10017638,2018-03-11,264.52,225396,Carlson Cheese Spread,281.28,298.04,562.56,142.8,155.24,149.02,2,EA,diamond
10017638,2018-03-11,265.44,225396,Blue Label Turkey Noodle Soup,564.53,299.09,564.53,137.36,161.73,299.09,1,EA,diamond
10017638,2018-03-11,266.17,225396,Carlson Jack Cheese,283.03,299.89,566.06,151.14,148.75,149.945,2,EA,diamond
10017638,2018-03-11,266.99,225396,Ebony Plums,189.27,300.82,567.81,158.72,142.1,100.2733333,3,EA,diamond
10017638,2018-03-11,281.39,225396,Golden Frozen Pepperoni Pizza,299.22,317.05,598.44,220.41,96.64,158.525,2,EA,diamond
10017638,2018-03-11,283.1,225396,Best Choice Apple Fruit Roll,75.26,318.98,602.08,169.54,149.44,39.8725,8,EA,diamond
10017638,2018-03-11,299.56,225396,Just Right Fancy Canned Clams,106.18,337.52,637.08,200.17,137.35,56.25333333,6,EA,diamond
10017638,2018-03-11,301.08,225396,High Top Limes,143.87,274.4,575.48,182.78,91.62,68.6,4,EA,diamond
10017638,2018-03-11,306.37,225396,Jumbo Small Brown Eggs,162.89,345.19,651.56,169.68,175.51,86.2975,4,EA,diamond
10017638,2018-03-11,322.75,225396,Ebony New Potatos,14.3,363.65,686.4,157.92,205.73,7.576041667,48,EA,diamond
10017638,2018-03-11,353.07,225396,Jumbo Small Eggs,125.15,397.83,750.9,84.3,313.53,66.305,6,EA,diamond
10017638,2018-03-11,359.8,225396,Special Grits,76.52,405.4,765.2,229.96,175.44,40.54,10,EA,diamond
10017638,2018-03-11,363.33,225396,Tell Tale Mushrooms,138.89,331.12,694.45,224.03,107.09,66.224,5,PR,diamond
10017638,2018-03-11,363.53,225396,Fast Avocado Dip,138.97,331.32,694.85,224.14,107.18,66.264,5,PR,diamond
10017638,2018-03-11,363.53,225396,Fast Cheese Dip,138.97,331.32,694.85,226.34,104.98,66.264,5,PR,diamond
10017638,2018-03-11,370.9,225396,Ebony Oranges,157.76,417.9,788.8,266.69,151.21,83.58,5,SE,diamond
10017638,2018-03-11,370.99,225396,Nationeel Sugar Cookies,141.82,338.11,709.1,224.83,113.28,67.622,5,PR,diamond
10017638,2018-03-11,370.99,225396,Nationeel Chocolate Chip Cookies,141.82,338.11,709.1,243.98,94.13,67.622,5,PR,diamond
10017638,2018-03-11,371.74,225396,Gorilla Strawberry Yogurt,142.11,338.81,710.55,215.74,123.07,67.762,5,PR,diamond
10017638,2018-03-11,397.93,225396,Tell Tale Dried Mushrooms,152.12,362.67,760.6,243.87,118.8,72.534,5,PR,diamond
10017638,2018-03-11,401.74,225396,Colony Wheat Bread,142.4,452.66,854.4,219.71,232.95,75.44333333,6,EA,diamond
10017638,2018-03-11,439.66,225396,Washington Cranberry Juice,187.01,495.39,935.05,264.83,230.56,99.078,5,EA,diamond
10017638,2018-03-11,451.62,225396,High Top Fresh Lima Beans,143.87,411.6,863.22,272.52,139.08,68.6,6,PR,diamond
10017638,2018-03-11,464.26,225396,High Top Golden Delcious Apples,20.57,523.1,987.36,332.51,190.59,10.89791667,48,EA,diamond
10017638,2018-03-11,471.08,225396,Great Rye Bread,166.98,530.8,1001.88,378.37,152.43,88.46666667,6,EA,diamond
10017638,2018-03-11,488.82,225396,High Top Corn on the Cob,346.53,550.77,1039.59,321.78,228.99,183.59,3,EA,diamond
10017638,2018-03-11,527.0,225396,Nationeel Potato Chips,37.36,593.8,1120.8,222.82,370.98,19.79333333,30,EA,diamond
10017638,2018-03-11,531.86,225396,BBB Best Tomato Sauce,188.52,599.26,1131.12,376.55,222.71,99.87666667,6,EA,diamond
10017638,2018-03-11,536.39,225396,Moms Sliced Chicken,285.19,604.37,1140.76,340.86,263.51,151.0925,4,EA,diamond
